"COL_NAME"	"COLLABEL"	"EXT_DESC"	"DATATYPE"	"COLWIDTH"	"COL_FMT"	"UNITS"	"PRMRYKEY"	"MINIMUM"	"MAXIMUM"	"MISSVALS"	"WT_NAME"	"WT_TYPE"	"COMMENTS"	"CHECKSUM"	"COL_NUM"
"AN2CV011"	"FCDTN:Benzene-Blood"	"100*Detection indicator for AN1CV011"	"NUMBER"	4	"F4.0"	""	""	"0"	"100"	""	""	"N"	""	"12600"	52
"CIDV014"	"V014 - Chloroform"	"V014 - Chloroform: Chemid in Region_5 = 114"	"CHARACTER"	4	"A4"	""	""	""	""	""	""	"N"	""	""	53
"CONCV014"	"CONC:Chloroform-Blood"	"Concentration for V014"	"NUMBER"	14	"F14.7"	""	""	".0162"	"2.6"	""	""	"P"	""	"8.53165"	54
"DLCV014"	"CDTLM:Chloroform-Blood"	"Detection limit or Quantitation limit for CONCV014"	"NUMBER"	14	"F14.7"	""	""	""	""	"-333"	""	"N"	""	"-41625"	55
"USECV014"	"CDQFG:Chloroform-Blood"	"Data quality flag for CONCV014"	"NUMBER"	4	"F4.0"	""	""	"0"	"1"	""	""	"N"	""	"4"	56
"CMTCV014"	"CDQI:Chloroform-Blood"	"Data quality indicator for CONCV014"	"CHARACTER"	2	"A2"	""	""	""	""	""	""	"N"	""	""	57
"DFLCV014"	"CDTIN:Chloroform-Blood"	"100*Detection indicator for CONCV014"	"NUMBER"	4	"F4.0"	""	""	"0"	"100"	""	""	"N"	""	"5700"	58
"UNTCV014"	"CUNIT:Chloroform-Blood"	"Measurement units  for CONCV014"	"CHARACTER"	6	"A6"	""	""	""	""	""	""	"N"	""	""	59
"AN1CV014"	"FCONC:Chloroform-Blood"	"Final concentration for V014"	"NUMBER"	14	"F14.7"	""	""	".0162"	"2.6"	""	""	"P"	""	"8.38917"	60
"AN2CV014"	"FCDTN:Chloroform-Blood"	"100*Detection indicator for AN1CV014"	"NUMBER"	4	"F4.0"	""	""	"0"	"100"	""	""	"N"	""	"5800"	61
"CIDV015"	"V015 - Ethylbenzene"	"V015 - Ethylbenzene: Chemid in Region_5 = 115"	"CHARACTER"	4	"A4"	""	""	""	""	""	""	"N"	""	""	62
"CONCV015"	"CONC:Ethylbenzene-Blood"	"Concentration for V015"	"NUMBER"	14	"F14.7"	""	""	".0228"	".545"	""	""	"P"	""	"11.37145"	63
"DLCV015"	"CDTLM:Ethylbenzene-Blood"	"Detection limit or Quantitation limit for CONCV015"	"NUMBER"	14	"F14.7"	""	""	""	""	"-333"	""	"N"	""	"-49284"	64
"USECV015"	"CDQFG:Ethylbenzene-Blood"	"Data quality flag for CONCV015"	"NUMBER"	4	"F4.0"	""	""	"0"	"1"	""	""	"N"	""	"5"	65
"CMTCV015"	"CDQI:Ethylbenzene-Blood"	"Data quality indicator for CONCV015"	"CHARACTER"	2	"A2"	""	""	""	""	""	""	"N"	""	""	66
"DFLCV015"	"CDTIN:Ethylbenzene-Blood"	"100*Detection indicator for CONCV015"	"NUMBER"	4	"F4.0"	""	""	"0"	"100"	""	""	"N"	""	"9800"	67
"UNTCV015"	"CUNIT:Ethylbenzene-Blood"	"Measurement units  for CONCV015"	"CHARACTER"	6	"A6"	""	""	""	""	""	""	"N"	""	""	68
"AN1CV015"	"FCONC:Ethylbenzene-Blood"	"Final concentration for V015"	"NUMBER"	14	"F14.7"	""	""	".0228"	".545"	""	""	"P"	""	"11.41705"	69
"AN2CV015"	"FCDTN:Ethylbenzene-Blood"	"100*Detection indicator for AN1CV015"	"NUMBER"	4	"F4.0"	""	""	"0"	"100"	""	""	"N"	""	"9900"	70
"CIDV016"	"V016 - Methylene Chloride"	"V016 - Methylene Chloride: Chemid in Region_5 = 116"	"CHARACTER"	4	"A4"	""	""	""	""	""	""	"N"	""	""	71
"CONCV016"	"CONC:Methylene Chloride-Blood"	"Concentration for V016"	"NUMBER"	14	"F14.7"	""	""	".0354"	"1.6"	""	""	"P"	""	"14.47125"	72
"DLCV016"	"CDTLM:Methylene Chloride-Blood"	"Detection limit or Quantitation limit for CONCV016"	"NUMBER"	14	"F14.7"	""	""	""	""	"-333"	""	"N"	""	"-48618"	73
"USECV016"	"CDQFG:Methylene Chloride-Blood"	"Data quality flag for CONCV016"	"NUMBER"	4	"F4.0"	""	""	"0"	"1"	""	""	"N"	""	"4"	74
"CMTCV016"	"CDQI:Methylene Chloride-Blood"	"Data quality indicator for CONCV016"	"CHARACTER"	2	"A2"	""	""	""	""	""	""	"N"	""	""	75
"DFLCV016"	"CDTIN:Methylene Chloride-Blood"	"100*Detection indicator for CONCV016"	"NUMBER"	4	"F4.0"	""	""	"0"	"100"	""	""	"N"	""	"800"	76
"UNTCV016"	"CUNIT:Methylene Chloride-Blood"	"Measurement units  for CONCV016"	"CHARACTER"	6	"A6"	""	""	""	""	""	""	"N"	""	""	77
"AN1CV016"	"FCONC:Methylene Chloride-Blood"	"Final concentration for V016"	"NUMBER"	14	"F14.7"	""	""	".0354"	"1.6"	""	""	"P"	""	"14.46958"	78
"AN2CV016"	"FCDTN:Methylene Chloride-Blood"	"100*Detection indicator for AN1CV016"	"NUMBER"	4	"F4.0"	""	""	"0"	"100"	""	""	"N"	""	"800"	79
"CIDV017"	"V017 - Styrene"	"V017 - Styrene: Chemid in Region_5 = 117"	"CHARACTER"	4	"A4"	""	""	""	""	""	""	"N"	""	""	80
"CONCV017"	"CONC:Styrene-Blood"	"Concentration for V017"	"NUMBER"	14	"F14.7"	""	""	".015"	".505"	""	""	"P"	""	"8.563"	81
"DLCV017"	"CDTLM:Styrene-Blood"	"Detection limit or Quantitation limit for CONCV017"	"NUMBER"	14	"F14.7"	""	""	""	""	"-333"	""	"N"	""	"-50283"	82
"USECV017"	"CDQFG:Styrene-Blood"	"Data quality flag for CONCV017"	"NUMBER"	4	"F4.0"	""	""	"0"	"1"	""	""	"N"	""	"5"	83
"CMTCV017"	"CDQI:Styrene-Blood"	"Data quality indicator for CONCV017"	"CHARACTER"	2	"A2"	""	""	""	""	""	""	"N"	""	""	84
"DFLCV017"	"CDTIN:Styrene-Blood"	"100*Detection indicator for CONCV017"	"NUMBER"	4	"F4.0"	""	""	"0"	"100"	""	""	"N"	""	"8000"	85
"UNTCV017"	"CUNIT:Styrene-Blood"	"Measurement units  for CONCV017"	"CHARACTER"	6	"A6"	""	""	""	""	""	""	"N"	""	""	86
"AN1CV017"	"FCONC:Styrene-Blood"	"Final concentration for V017"	"NUMBER"	14	"F14.7"	""	""	".015"	".505"	""	""	"P"	""	"8.56447"	87
"AN2CV017"	"FCDTN:Styrene-Blood"	"100*Detection indicator for AN1CV017"	"NUMBER"	4	"F4.0"	""	""	"0"	"100"	""	""	"N"	""	"8000"	88
"CIDV018"	"V018 - Tetrachoroethylene"	"V018 - Tetrachoroethylene: Chemid in Region_5 = 118"	"CHARACTER"	4	"A4"	""	""	""	""	""	""	"N"	""	""	89
"CONCV018"	"CONC:Tetrachoroethylene-Blood"	"Concentration for V018"	"NUMBER"	14	"F14.7"	""	""	".038"	"20"	""	""	"P"	""	"41.77265"	90
"DLCV018"	"CDTLM:Tetrachoroethylene-Blood"	"Detection limit or Quantitation limit for CONCV018"	"NUMBER"	14	"F14.7"	""	""	""	""	"-333"	""	"N"	""	"-48951"	91
"USECV018"	"CDQFG:Tetrachoroethylene-Blood"	"Data quality flag for CONCV018"	"NUMBER"	4	"F4.0"	""	""	"0"	"1"	""	""	"N"	""	"5"	92
"CMTCV018"	"CDQI:Tetrachoroethylene-Blood"	"Data quality indicator for CONCV018"	"CHARACTER"	2	"A2"	""	""	""	""	""	""	"N"	""	""	93
"DFLCV018"	"CDTIN:Tetrachoroethylene-Blood"	"100*Detection indicator for CONCV018"	"NUMBER"	4	"F4.0"	""	""	"0"	"100"	""	""	"N"	""	"5400"	94
"UNTCV018"	"CUNIT:Tetrachoroethylene-Blood"	"Measurement units  for CONCV018"	"CHARACTER"	6	"A6"	""	""	""	""	""	""	"N"	""	""	95
"AN1CV018"	"FCONC:Tetrachoroethylene-Blood"	"Final concentration for V018"	"NUMBER"	14	"F14.7"	""	""	".038"	"20"	""	""	"P"	""	"41.77186"	96
"AN2CV018"	"FCDTN:Tetrachoroethylene-Blood"	"100*Detection indicator for AN1CV018"	"NUMBER"	4	"F4.0"	""	""	"0"	"100"	""	""	"N"	""	"5500"	97
"CIDV019"	"V019 - Toluene"	"V019 - Toluene: Chemid in Region_5 = 119"	"CHARACTER"	4	"A4"	""	""	""	""	""	""	"N"	""	""	98
"CONCV019"	"CONC:Toluene-Blood"	"Concentration for V019"	"NUMBER"	14	"F14.7"	""	""	".021"	"7.4"	""	""	"P"	""	"69.208"	99
"DLCV019"	"CDTLM:Toluene-Blood"	"Detection limit or Quantitation limit for CONCV019"	"NUMBER"	14	"F14.7"	""	""	""	""	"-333"	""	"N"	""	"-48951"	100
"USECV019"	"CDQFG:Toluene-Blood"	"Data quality flag for CONCV019"	"NUMBER"	4	"F4.0"	""	""	"0"	"1"	""	""	"N"	""	"5"	101
"CMTCV019"	"CDQI:Toluene-Blood"	"Data quality indicator for CONCV019"	"CHARACTER"	2	"A2"	""	""	""	""	""	""	"N"	""	""	102
"DFLCV019"	"CDTIN:Toluene-Blood"	"100*Detection indicator for CONCV019"	"NUMBER"	4	"F4.0"	""	""	"0"	"100"	""	""	"N"	""	"14500"	103
"UNTCV019"	"CUNIT:Toluene-Blood"	"Measurement units  for CONCV019"	"CHARACTER"	6	"A6"	""	""	""	""	""	""	"N"	""	""	104
"AN1CV019"	"FCONC:Toluene-Blood"	"Final concentration for V019"	"NUMBER"	14	"F14.7"	""	""	".021"	"7.4"	""	""	"P"	""	"69.27"	105
"AN2CV019"	"FCDTN:Toluene-Blood"	"100*Detection indicator for AN1CV019"	"NUMBER"	4	"F4.0"	""	""	"0"	"100"	""	""	"N"	""	"14500"	106
"CIDV020"	"V020 - Trichloroethylene"	"V020 - Trichloroethylene: Chemid in Region_5 = 120"	"CHARACTER"	4	"A4"	""	""	""	""	""	""	"N"	""	""	107
"CONCV020"	"CONC:Trichloroethylene-Blood"	"Concentration for V020"	"NUMBER"	14	"F14.7"	""	""	".0075"	".52"	""	""	"P"	""	"2.6853"	108
"DLCV020"	"CDTLM:Trichloroethylene-Blood"	"Detection limit or Quantitation limit for CONCV020"	"NUMBER"	14	"F14.7"	""	""	""	""	"-333"	""	"N"	""	"-49617"	109
"USECV020"	"CDQFG:Trichloroethylene-Blood"	"Data quality flag for CONCV020"	"NUMBER"	4	"F4.0"	""	""	"0"	"1"	""	""	"N"	""	"5"	110
"CMTCV020"	"CDQI:Trichloroethylene-Blood"	"Data quality indicator for CONCV020"	"CHARACTER"	2	"A2"	""	""	""	""	""	""	"N"	""	""	111
"DFLCV020"	"CDTIN:Trichloroethylene-Blood"	"100*Detection indicator for CONCV020"	"NUMBER"	4	"F4.0"	""	""	"0"	"100"	""	""	"N"	""	"900"	112
"UNTCV020"	"CUNIT:Trichloroethylene-Blood"	"Measurement units  for CONCV020"	"CHARACTER"	6	"A6"	""	""	""	""	""	""	"N"	""	""	113
"AN1CV020"	"FCONC:Trichloroethylene-Blood"	"Final concentration for V020"	"NUMBER"	14	"F14.7"	""	""	".0075"	".52"	""	""	"P"	""	"2.691175"	114
"AN2CV020"	"FCDTN:Trichloroethylene-Blood"	"100*Detection indicator for AN1CV020"	"NUMBER"	4	"F4.0"	""	""	"0"	"100"	""	""	"N"	""	"1000"	115
"CIDV022"	"V022 - m,p-Xylene"	"V022 - m,p-Xylene: Chemid in Region_5 = 122"	"CHARACTER"	4	"A4"	""	""	""	""	""	""	"N"	""	""	116
"CONCV022"	"CONC:m,p-Xylene-Blood"	"Concentration for V022"	"NUMBER"	14	"F14.7"	""	""	".039"	"1.25"	""	""	"P"	""	"32.81535"	117
"DLCV022"	"CDTLM:m,p-Xylene-Blood"	"Detection limit or Quantitation limit for CONCV022"	"NUMBER"	14	"F14.7"	""	""	""	""	"-333"	""	"N"	""	"-48951"	118
"USECV022"	"CDQFG:m,p-Xylene-Blood"	"Data quality flag for CONCV022"	"NUMBER"	4	"F4.0"	""	""	"0"	"1"	""	""	"N"	""	"5"	119
"CMTCV022"	"CDQI:m,p-Xylene-Blood"	"Data quality indicator for CONCV022"	"CHARACTER"	2	"A2"	""	""	""	""	""	""	"N"	""	""	120
"DFLCV022"	"CDTIN:m,p-Xylene-Blood"	"100*Detection indicator for CONCV022"	"NUMBER"	4	"F4.0"	""	""	"0"	"100"	""	""	"N"	""	"14000"	121
"UNTCV022"	"CUNIT:m,p-Xylene-Blood"	"Measurement units  for CONCV022"	"CHARACTER"	6	"A6"	""	""	""	""	""	""	"N"	""	""	122
"AN1CV022"	"FCONC:m,p-Xylene-Blood"	"Final concentration for V022"	"NUMBER"	14	"F14.7"	""	""	".039"	"1.25"	""	""	"P"	""	"32.98935"	123
"AN2CV022"	"FCDTN:m,p-Xylene-Blood"	"100*Detection indicator for AN1CV022"	"NUMBER"	4	"F4.0"	""	""	"0"	"100"	""	""	"N"	""	"14000"	124
"CIDV023"	"V023 - o-Xylene"	"V023 - o-Xylene: Chemid in Region_5 = 123"	"CHARACTER"	4	"A4"	""	""	""	""	""	""	"N"	""	""	125
"CONCV023"	"CONC:o-Xylene-Blood"	"Concentration for V023"	"NUMBER"	14	"F14.7"	""	""	".044"	".415"	""	""	"P"	""	"11.0899"	126
"DLCV023"	"CDTLM:o-Xylene-Blood"	"Detection limit or Quantitation limit for CONCV023"	"NUMBER"	14	"F14.7"	""	""	""	""	"-333"	""	"N"	""	"-50283"	127
"USECV023"	"CDQFG:o-Xylene-Blood"	"Data quality flag for CONCV023"	"NUMBER"	4	"F4.0"	""	""	"0"	"1"	""	""	"N"	""	"5"	128
"CMTCV023"	"CDQI:o-Xylene-Blood"	"Data quality indicator for CONCV023"	"CHARACTER"	2	"A2"	""	""	""	""	""	""	"N"	""	""	129
"DFLCV023"	"CDTIN:o-Xylene-Blood"	"100*Detection indicator for CONCV023"	"NUMBER"	4	"F4.0"	""	""	"0"	"100"	""	""	"N"	""	"5900"	130
"UNTCV023"	"CUNIT:o-Xylene-Blood"	"Measurement units  for CONCV023"	"CHARACTER"	6	"A6"	""	""	""	""	""	""	"N"	""	""	131
"AN1CV023"	"FCONC:o-Xylene-Blood"	"Final concentration for V023"	"NUMBER"	14	"F14.7"	""	""	".044"	".415"	""	""	"P"	""	"11.09593"	132
"AN2CV023"	"FCDTN:o-Xylene-Blood"	"100*Detection indicator for AN1CV023"	"NUMBER"	4	"F4.0"	""	""	"0"	"100"	""	""	"N"	""	"5900"	133
